#time nev avnev sigma he_nev he_avnev he_sigma
386221418.0000 135.0 174.42016 -3.055078 6.0 12.31598 -1.769809 
386826218.0000 118.0 146.57392 -2.385245 5.0 10.415651 -1.617306 
387431018.0000 101.0 148.77496 -4.099785 1.0 10.637205 -3.450897 
388035818.0000 80.0 133.08017 -4.906404 7.0 9.5536661 -0.633705 
388640618.0000 121.0 166.99259 -3.688127 4.0 11.984159 -2.423544 
389245418.0000 111.0 187.93057 -6.023731 2.0 13.23061 -3.563988 
389850218.0000 147.0 246.78038 -6.824652 4.0 17.848415 -3.732238 
390455018.0000 39.0 47.341995 -1.148571 2.0 3.248667 -0.332277 
391059818.0000 137.0 180.66905 -3.341327 8.0 12.945065 -1.268572 
391664618.0000 114.0 155.1538 -3.410524 6.0 11.221564 -1.476117 
392269418.0000 117.0 150.73088 -2.802451 7.0 10.97385 -1.058611 
392874218.0000 112.0 163.90541 -4.24471 11.0 11.813179 -0.042321 
393479018.0000 175.0 202.61596 -1.938027 6.0 14.653717 -2.345787 
394083818.0000 215.0 250.0019 -2.224596 23.0 17.932376 1.2920147 
394688618.0000 209.0 225.82992 -1.088931 10.0 16.140701 -1.455804 
395293418.0000 148.0 169.40712 -1.628076 8.0 11.94846 -1.000915 
395898218.0000 155.0 150.59874 0.4107718 14.0 10.819675 1.1115667 
396503018.0000 126.0 124.125 0.2274246 15.0 8.8930358 2.0531222 
397107818.0000 126.0 115.30827 1.0413194 23.0 8.289978 4.3547792 
397712618.0000 157.0 158.87321 -0.095852 10.0 11.432621 -0.22916 
398317418.0000 120.0 140.3628 -1.70418 8.0 9.8695526 -0.391543 
398922218.0000 120.0 169.35923 -3.94737 10.0 12.346535 -0.490255 
399527018.0000 105.0 161.07243 -4.661596 7.0 11.362929 -1.168702 
400131818.0000 142.0 153.04078 -0.848487 8.0 11.005477 -0.733918 
400736618.0000 129.0 128.61525 0.0926185 5.0 9.3316192 -1.298917 
401341418.0000 123.0 127.32029 -0.325424 14.0 9.1792535 1.6689413 
401946218.0000 130.0 137.54657 -0.591726 10.0 9.8389406 0.2615896 
402551018.0000 181.0 177.23062 0.3318997 9.0 12.508161 -0.838741 
403155818.0000 601.0 223.10458 20.897693 13.0 15.665389 -0.516966 
403760618.0000 120.0 143.69187 -1.976299 3.0 10.368191 -2.414349 
404365418.0000 199.0 309.65271 -6.689864 14.0 23.91386 -2.041023 
404970218.0000 179.0 232.3927 -3.604177 6.0 17.467371 -2.967112 
405575018.0000 137.0 174.70893 -2.91196 4.0 12.624178 -2.583222 
406179818.0000 87.0 133.27133 -4.21678 4.0 9.545413 -1.760941 
406784618.0000 142.0 175.01202 -2.527227 8.0 12.715507 -1.208138 
407389418.0000 284.0 201.55905 5.5087328 19.0 14.240771 1.3609386 
407994218.0000 1052.0 360.76831 29.508564 84.0 26.03128 9.0842514 
408599018.0000 821.0 312.38458 23.890491 66.0 22.180345 7.6045565 
409203818.0000 370.0 180.58244 12.367908 93.0 12.577434 14.634948 
409808618.0000 272.0 108.75248 13.171039 23.0 6.8409595 5.018445 
410413418.0000 312.0 178.69929 9.0506963 31.0 13.424667 4.2319493 
411018218.0000 328.0 269.93215 3.4560985 33.0 19.75436 2.8442378 
411623018.0000 431.0 230.96365 11.770254 78.0 16.63928 10.976852 
412227818.0000 65.0 47.894622 2.4308288 8.0 3.3460929 2.4311955 
413437418.0000 128.0 90.78897 3.7390339 12.0 6.3364729 2.2172339 
414042218.0000 118.0 106.49692 1.158113 9.0 7.1713829 0.8878912 
414647018.0000 140.0 120.88613 1.7534618 26.0 8.5293321 4.9593477 
415251818.0000 340.0 134.53465 14.859325 62.0 9.7497215 11.294008 
415856618.0000 344.0 287.48584 3.2692716 44.0 20.947277 4.4987826 
416461418.0000 158.0 131.15728 2.3251266 12.0 9.3170051 1.0429078 
417066218.0000 163.0 145.82412 1.4491241 8.0 10.438339 -0.566048 
417671018.0000 434.0 147.37657 19.1245 65.0 10.560348 11.401084 
418275818.0000 1500.0 367.67791 40.0 217.0 27.963289 22.675165 
418880618.0000 203.0 120.44112 6.8953838 27.0 7.7568574 5.53516 
419485418.0000 171.0 159.86813 0.9221643 13.0 11.685459 0.5658773 
420090218.0000 213.0 169.49267 3.2601599 17.0 12.100295 1.4993552 
420695018.0000 181.0 162.54069 1.4723541 14.0 11.713292 0.8321028 
421299818.0000 239.0 186.28811 3.7438907 26.0 13.098374 3.287708 
421904618.0000 312.0 243.57171 4.2397818 44.0 17.625558 5.3885388 
422509418.0000 204.0 210.81111 -0.425322 11.0 14.827898 -0.854467 
423114218.0000 180.0 214.34782 -2.365435 17.0 15.332208 0.5831863 
423719018.0000 245.0 294.35107 -2.922109 16.0 20.974985 -0.97726 
424323818.0000 256.0 313.37353 -3.3084 14.0 22.157939 -1.699232 
424928618.0000 145.0 209.79493 -4.688556 13.0 14.979479 -0.34464 
425533418.0000 137.0 202.16041 -4.81718 5.0 14.305863 -2.612235 
426138218.0000 165.0 222.4691 -3.991121 7.0 15.727066 -2.264642 
426743018.0000 158.0 180.91072 -1.689823 5.0 13.108696 -2.3264 
427347818.0000 131.0 117.47443 1.2845954 15.0 8.2025709 2.317871 
427952618.0000 233.0 133.27586 7.8505992 22.0 9.0627498 3.7946417 
428557418.0000 405.0 146.56637 17.545324 26.0 10.919404 4.0213999 
429162218.0000 227.0 247.69763 -1.29065 13.0 17.926914 -1.052182 
429767018.0000 386.0 278.90463 6.0929961 22.0 20.420026 0.4892589 
430371818.0000 137.0 105.70063 2.970134 4.0 7.6551618 -1.169252 
430976618.0000 163.0 144.52 1.5596107 8.0 10.46653 -0.574532 
431581418.0000 117.0 138.73028 -1.837106 5.0 10.00016 -1.497897 
432186218.0000 120.0 116.95601 0.3414177 6.0 8.066986 -0.509327 
432791018.0000 150.0 111.68382 3.5011434 9.0 7.0337166 0.9426128 
433395818.0000 204.0 197.49229 0.5075469 12.0 14.654377 -0.532384 
434000618.0000 291.0 288.86132 0.1648129 9.0 20.702032 -2.715925 
434605418.0000 298.0 236.45806 3.8855376 20.0 17.004949 0.8601182 
435210218.0000 119.0 142.45726 -1.964528 6.0 10.096633 -1.154415 
435815018.0000 119.0 158.22778 -3.205391 9.0 11.516761 -0.561725 
436419818.0000 116.0 125.18933 -0.770774 4.0 8.8191795 -1.543298 
437024618.0000 104.0 120.48514 -1.474862 4.0 8.1498508 -1.332375 
437629418.0000 158.0 134.81436 1.9981685 14.0 9.5164394 1.5490652 
438234218.0000 366.0 225.60189 8.6052293 20.0 16.255046 1.0513626 
438839018.0000 887.0 294.02542 27.828138 72.0 21.278141 8.7067318 
439443818.0000 377.0 214.8366 10.02333 23.0 15.478188 1.9321813 
440048618.0000 248.0 259.14685 -0.655552 7.0 18.606998 -2.885113 
440653418.0000 256.0 260.16641 -0.217483 15.0 18.744567 -0.73275 
441258218.0000 195.0 213.44461 -1.234524 13.0 15.316339 -0.42991 
441863018.0000 150.0 173.91461 -1.804799 11.0 12.611043 -0.269496 
442467818.0000 134.0 159.73747 -2.039642 10.0 11.725608 -0.314323 
443072618.0000 151.0 162.71081 -0.876041 7.0 11.860297 -1.305936 
443677418.0000 120.0 188.13656 -5.26931 6.0 13.396453 -2.043893 
444282218.0000 132.0 198.83642 -4.998317 7.0 13.955412 -1.846582 
444887018.0000 210.0 250.58178 -2.593658 8.0 18.022617 -2.459194 
445491818.0000 177.0 217.20802 -2.771633 9.0 15.17671 -1.51944 
446096618.0000 147.0 182.77458 -2.687906 7.0 13.222363 -1.663731 
446701418.0000 105.0 133.4015 -2.49325 5.0 9.6389999 -1.391501 
447306218.0000 97.0 126.18356 -2.645247 3.0 9.0624342 -2.047396 
447911018.0000 154.0 147.56509 0.5801239 9.0 10.640214 -0.303393 
448515818.0000 127.0 132.8912 -0.456313 5.0 9.4044838 -1.321039 
449120618.0000 103.0 151.16261 -4.0986 1.0 10.662937 -3.45724 
449725418.0000 139.0 177.99679 -2.987168 8.0 12.592677 -1.175511 
450330218.0000 157.0 188.99887 -2.347234 11.0 13.192966 -0.42923 
450935018.0000 128.0 156.99905 -2.335335 2.0 11.261478 -3.098335 
451539818.0000 93.0 131.96795 -3.519646 2.0 9.5258226 -2.645601 
452144618.0000 110.0 129.24571 -1.676323 0.0 9.2737913 -3.735014 
452749418.0000 235.0 157.94302 5.7603654 18.0 11.374068 1.9810985 
453354218.0000 273.0 190.4317 5.6577343 21.0 13.401142 2.0740494 
453959018.0000 214.0 238.74453 -1.585851 12.0 17.233808 -1.156928 
454563818.0000 237.0 212.75351 1.6764129 8.0 14.982115 -1.776859 
455168618.0000 151.0 171.11325 -1.516463 6.0 12.231434 -1.747729 
455773418.0000 759.0 136.64033 36.885906 125.0 9.8483247 20.216285 
456378218.0000 3135.0 466.55603 40.0 562.0 36.454231 40.0 
456983018.0000 350.0 178.88073 11.337235 43.0 13.235051 6.5931239 
457587818.0000 170.0 135.66072 2.8889389 24.0 9.7324953 4.0076284 
458192618.0000 582.0 221.29325 20.13693 71.0 15.607946 10.319346 
458797418.0000 344.0 241.79844 6.2145681 38.0 17.350967 4.4017124 
459402218.0000 179.0 182.55055 -0.214035 11.0 12.811432 -0.325043 
460007018.0000 134.0 160.97395 -2.134583 12.0 11.558536 0.3221107 
